fornitore,reg,codice_regione,Code,anno,mese,age_group,coverage_of_the_age_group,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_6,coverage_7,coverage_8,coverage_9,coverage_10,coverage_11,coverage_12,coverage_13,coverage_14,coverage_15,efficacy_baseline,efficacy_lower,efficacy_upper
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,4,4,.14594546,.88411206,.10126461,.014623349,0,0,0,0,0,0,0,0,0,0,0,0,59.982452,52.985378,65.954666
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,5,4,.14720418,.4713853,.46735457,.053529955,.0077301161,0,0,0,0,0,0,0,0,0,0,0,59.892467,52.918636,65.781487
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,6,4,.0082820989,.025836181,.45920652,.45527992,.052146945,.0075303996,0,0,0,0,0,0,0,0,0,0,59.093109,52.295238,64.164749
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,7,4,.0022221571,.006884343,.025658317,.45604518,.45214564,.05178795,.0074785575,0,0,0,0,0,0,0,0,0,56.180229,50.137833,60.761501
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,8,4,.0020582769,.0063362313,.0068407226,.025495742,.45315561,.44928074,.051459812,.0074311723,0,0,0,0,0,0,0,0,51.223206,44.845261,56.558884
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,9,4,.00063997169,.001966225,.0063237729,.006827272,.02544561,.45226458,.44839737,.051358629,.0074165608,0,0,0,0,0,0,0,37.475494,24.966301,43.243523
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,10,4,.00033612762,.0010316405,.0019641966,.0063172486,.0068202284,.025419358,.45179799,.44793475,.051305644,.007408909,0,0,0,0,0,0,25.218805,5.3893075,31.94161
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,11,4,.00005124402,.00015725305,.0010314783,.0019638878,.0063162553,.0068191565,.025415363,.45172697,.44786432,.051297579,.0074077444,0,0,0,0,0,24.486588,1.7857949,37.523899
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,12,4,0,0,.00015725305,.0010314783,.0019638878,.0063162553,.0068191565,.025415363,.45172697,.44786432,.051297579,.0074077444,0,0,0,0,24.271166,.52911395,43.211838
AstraZeneca/Janssen,Abruzzo,13,ITF1,2022,1,4,0,0,0,.00015725305,.0010314783,.0019638878,.0063162553,.0068191565,.025415363,.45172697,.44786432,.051297579,.0074077444,0,0,0,24.089659,.19607341,43.367657
AstraZeneca/Janssen,Abruzzo,13,ITF1,2022,2,4,0,0,0,0,.00015725305,.0010314783,.0019638878,.0063162553,.0068191565,.025415363,.45172697,.44786432,.051297579,.0074077444,0,0,24.032528,.077173576,43.406384
AstraZeneca/Janssen,Abruzzo,13,ITF1,2022,3,4,0,0,0,0,0,.00015725305,.0010314783,.0019638878,.0063162553,.0068191565,.025415363,.45172697,.44786432,.051297579,.0074077444,0,24.00423,.016655751,43.462017
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,2,5,.00003420236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,53,66
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,3,5,.0020948944,.98393577,.016064258,0,0,0,0,0,0,0,0,0,0,0,0,0,60.000004,53.000004,66
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,4,5,.0026079298,.55054152,.44223827,.007220217,0,0,0,0,0,0,0,0,0,0,0,0,59.991337,52.992779,65.977623
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,5,5,.0025908286,.35355893,.35589266,.28588098,.0046674446,0,0,0,0,0,0,0,0,0,0,0,59.630806,52.697315,65.082031
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,6,5,.000333473,.043526787,.33816963,.34040177,.2734375,.0044642859,0,0,0,0,0,0,0,0,0,0,58.019642,51.638615,63.044304
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,7,5,.00023086592,.029252438,.04225352,.32827735,.33044419,.2654388,.0043336945,0,0,0,0,0,0,0,0,0,55.184071,49.10054,60.13467
